# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "/home/yc1201/rnaseq_ypd1/reference/genomic.gtf" "-t" "exon" "-g" "gene_id" "-o" "/home/yc1201/rnaseq_ypd1/results/counts/candida_counts_matrix.txt" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_1_WT1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_2_WT2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_3_kcs1-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_4_kcs1-2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_5_vip1-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_6_vip1-2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_7_dbl-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_8_dbl-2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_1_WT1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_2_WT2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_3_kcs1-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_4_kcs1-2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_5_vip1-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_6_vip1-2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_7_dbl-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_8_dbl-2_Aligned.sortedByCoord.out.bam
CAALFM_C400210WA	NC_032092.1	32585	33277	+	693	222	260	308	275	486	496	293	265
CAALFM_C400220CA	NC_032092.1;NC_032092.1	33383;34541	34461;34763	-;-	1302	11412	11157	10630	10715	12814	11121	11935	10974
CAALFM_C400230WA	NC_032092.1	34782	35390	+	609	2596	3001	2464	2755	2326	2287	3673	3484
CAALFM_C400240CA	NC_032092.1	35411	36235	-	825	159	173	176	200	312	221	189	187
CAALFM_C400250WA	NC_032092.1	35436	35975	+	540	0	0	0	0	0	0	0	0
CAALFM_C400260WA	NC_032092.1	36910	39081	+	2172	890	988	1043	981	1220	1096	953	870
CAALFM_C400270WA	NC_032092.1;NC_032092.1	39465;39994	39583;41389	+;+	1515	9204	9541	8615	8714	8155	7116	10630	9415
CAALFM_C400280WA	NC_032092.1;NC_032092.1	41651;41722	41668;43041	+;+	1338	2358	2542	2594	2473	3238	3027	2475	2420
CAALFM_C400290CA	NC_032092.1;NC_032092.1;NC_032092.1	43184;43988;44078	43847;43991;44714	-;-;-	1305	54	81	213	233	567	526	37	59
CAALFM_C400300CA	NC_032092.1	45136	48099	-	2964	1675	1717	1874	1709	2249	2010	1924	1866
CAALFM_C400310CA	NC_032092.1	48304	49311	-	1008	3277	3250	3656	3403	3805	3480	3703	3605
CAALFM_C400320CA	NC_032092.1;NC_032092.1	49530;50469	50398;50508	-;-	909	773	796	930	797	1054	1188	618	520
CAALFM_C400330CA	NC_032092.1	50924	51205	-	282	11932	13712	13148	12295	10287	9852	16571	14953
CAALFM_C400340WA	NC_032092.1	51516	52568	+	1053	1040	1112	1069	1140	1124	1065	1214	1230
CAALFM_C400350WA	NC_032092.1	52677	54014	+	1338	264	319	302	282	333	337	288	293
CAALFM_C400360CA	NC_032092.1	54076	55311	-	1236	487	450	695	581	733	701	528	472
CAALFM_C400370WA	NC_032092.1	56577	58400	+	1824	619	689	600	619	743	698	946	761
CAALFM_C400380WA	NC_032092.1	58581	59564	+	984	1366	1550	1452	1439	1951	1790	1738	1606
CAALFM_C400390WA	NC_032092.1	59710	60150	+	441	1636	1609	1558	1730	2012	2020	1719	1539
CAALFM_C400400WA	NC_032092.1	60939	63332	+	2394	1136	1096	1297	1223	1467	1348	1112	977
CAALFM_C400410WA	NC_032092.1	63553	64113	+	561	939	1042	1007	876	1104	1053	1034	910
CAALFM_C400420CA	NC_032092.1	64264	66699	-	2436	1663	1701	1822	1637	1781	1670	1663	1542
CAALFM_C400430WA	NC_032092.1	67988	69430	+	1443	229	205	222	260	294	204	100	80
CAALFM_C400440CA	NC_032092.1	69499	71742	-	2244	85	65	82	71	201	214	62	62
CAALFM_C400450CA	NC_032092.1	72788	73540	-	753	38	26	34	31	30	44	13	7
CAALFM_C400460CA	NC_032092.1	74264	77572	-	3309	652	665	789	775	953	853	677	599
CAALFM_C400470CA	NC_032092.1	78356	80167	-	1812	746	673	745	667	762	642	781	683
CAALFM_C400480WA	NC_032092.1	81574	83547	+	1974	53	70	98	106	189	136	87	91
CAALFM_C400490WA	NC_032092.1	84041	85630	+	1590	128	145	118	155	176	145	171	146
CAALFM_C400500WA	NC_032092.1	86313	89231	+	2919	992	975	934	994	1066	1010	1001	908
CAALFM_C400510CA	NC_032092.1	89384	90013	-	630	2019	2236	2375	2567	2095	2008	1820	1703
CAALFM_C400520WA	NC_032092.1	90446	90919	+	474	3973	4753	4361	4250	3411	3494	4221	3766
CAALFM_C400530CA	NC_032092.1	91405	92481	-	1077	14	22	41	70	65	68	18	16
CAALFM_C400540CA	NC_032092.1	93725	96778	-	3054	654	691	889	906	725	794	626	594
CAALFM_C400550CA	NC_032092.1	97323	97393	-	71	7	10	49	39	141	204	14	8
CAALFM_C400560CA	NC_032092.1	97569	98888	-	1320	225	223	234	227	246	213	196	194
CAALFM_C400570CA	NC_032092.1	99126	100499	-	1374	930	1031	1043	890	1241	1180	1103	1007
CAALFM_C400580WA	NC_032092.1	100978	101433	+	456	297	289	294	305	273	294	273	229
CAALFM_C400590CA	NC_032092.1	101589	103595	-	2007	895	853	1065	864	1098	949	837	789
CAALFM_C400600CA	NC_032092.1	104411	107074	-	2664	490	489	580	600	784	775	617	540
CAALFM_C400610WA	NC_032092.1;NC_032092.1	107335;107479	107411;108391	+;+	990	336	389	316	372	456	432	307	290
CAALFM_C400620CA	NC_032092.1	108410	108919	-	510	595	731	722	679	588	772	739	660
CAALFM_C400630CA	NC_032092.1	109388	110002	-	615	2477	2709	2581	2804	2752	2986	3460	2957
CAALFM_C400640WA	NC_032092.1	110378	110908	+	531	6	11	4	6	16	19	2	13
CAALFM_C400650WA	NC_032092.1	111275	112444	+	1170	1028	1067	1111	1127	1891	2054	1503	1325
CAALFM_C400660WA	NC_032092.1	112691	113431	+	741	5890	6523	6535	6275	4867	4912	6790	6459
CAALFM_C400670WA	NC_032092.1	113645	115870	+	2226	215	339	499	496	963	885	302	336
CAALFM_C400680WA	NC_032092.1	116219	117580	+	1362	350	359	419	400	418	331	257	249
CAALFM_C400690CA	NC_032092.1	117577	119166	-	1590	100	115	101	116	139	121	103	121
CAALFM_C400700CA	NC_032092.1	119423	120388	-	966	691	739	717	714	948	863	588	558
CAALFM_C400710WA	NC_032092.1	121067	123004	+	1938	973	909	921	843	799	708	808	830
CAALFM_C400720WA	NC_032092.1	124043	124867	+	825	151	181	168	167	107	86	151	116
CAALFM_C400730CA	NC_032092.1	125251	125643	-	393	17	27	21	22	25	16	14	24
CAALFM_C400740WA	NC_032092.1	126005	126508	+	504	286	354	359	303	266	273	397	423
CAALFM_C400750CA	NC_032092.1	126564	127100	-	537	541	533	574	505	342	368	430	387
CAALFM_C400760WA	NC_032092.1	131930	133819	+	1890	1635	1757	1674	1573	1071	928	783	742
CAALFM_C400770CA	NC_032092.1	134409	135143	-	735	1219	1362	1294	1359	1409	1312	1384	1330
CAALFM_C400780CA	NC_032092.1	135543	138761	-	3219	402	490	475	542	491	396	532	518
CAALFM_C400790CA	NC_032092.1	140612	142765	-	2154	106	144	113	134	106	96	86	91
CAALFM_C400800WA	NC_032092.1	142969	144084	+	1116	171	181	229	231	275	338	216	223
CAALFM_C400810CA	NC_032092.1	144138	145490	-	1353	186	179	238	304	265	330	289	261
CAALFM_C400820WA	NC_032092.1	146312	147412	+	1101	494	552	590	585	592	574	656	640
CAALFM_C400830WA	NC_032092.1	148156	149028	+	873	376	370	429	386	772	742	432	378
CAALFM_C400840WA	NC_032092.1	150338	152152	+	1815	538	575	547	617	504	512	613	437
CAALFM_C400850CA	NC_032092.1	152453	154591	-	2139	80	83	973	849	2039	2038	215	171
CAALFM_C400860CA	NC_032092.1	155846	156343	-	498	757	629	1259	1244	2091	2315	805	672
CAALFM_C400870WA	NC_032092.1	157051	157121	+	71	4	4	23	12	93	87	1	4
CAALFM_C400880WA	NC_032092.1	157302	158897	+	1596	1587	1696	1867	1948	1739	1682	1775	1586
CAALFM_C400890WA	NC_032092.1	159230	163885	+	4656	3176	3136	3280	3122	5087	5131	4149	3843
CAALFM_C400900CA	NC_032092.1	164078	164148	-	71	4	2	12	13	26	43	1	7
CAALFM_C400910CA	NC_032092.1	165104	166809	-	1706	228	230	244	252	272	220	262	230
CAALFM_C400920CA	NC_032092.1	166683	167584	-	902	7	10	10	8	10	8	4	9
CAALFM_C400930WA	NC_032092.1	168204	168274	+	71	0	0	13	10	19	40	1	3
CAALFM_C400940WA	NC_032092.1	168441	169364	+	924	343	434	432	426	552	663	655	599
CAALFM_C400950CA	NC_032092.1	169418	171475	-	2058	467	531	483	458	349	302	299	272
CAALFM_C400960WA	NC_032092.1	174413	175678	+	1266	1374	1355	1163	1073	623	525	1148	1018
CAALFM_C400970CA	NC_032092.1	176031	191138	-	15108	6571	6839	7324	7904	6390	5804	5292	5060
CAALFM_C400980CA	NC_032092.1	192152	192757	-	606	17	19	7	16	12	13	15	7
CAALFM_C400990WA	NC_032092.1	195174	196907	+	1734	14	6	40	37	67	50	4	18
CAALFM_C401000CA	NC_032092.1	197113	197757	-	645	173	185	203	277	260	248	197	153
CAALFM_C401010CA	NC_032092.1	199443	200198	-	756	102	120	152	211	130	142	77	42
CAALFM_C401020CA	NC_032092.1	202398	206000	-	3603	641	694	973	753	758	706	684	619
CAALFM_C401050CA	NC_032092.1	208446	208604	-	159	899	983	939	874	827	795	1055	1076
CAALFM_C401060WA	NC_032092.1	209074	214572	+	5499	2605	2530	2773	2597	2812	2441	3036	2554
CAALFM_C401070WA	NC_032092.1	217108	218946	+	1839	2028	2492	2204	2065	1528	1150	26	12
CAALFM_C401080WA	NC_032092.1	219421	222327	+	2907	677	802	829	971	839	819	613	588
CAALFM_C401090CA	NC_032092.1	222373	223518	-	1146	212	289	321	328	540	486	229	248
CAALFM_C401100CA	NC_032092.1	223819	225525	-	1707	545	548	1223	1291	2234	2168	648	537
CAALFM_C401110WA	NC_032092.1	227751	227822	+	72	2	3	16	18	74	137	8	6
CAALFM_C401120CA	NC_032092.1	227963	228964	-	1002	322	379	490	561	790	751	564	498
CAALFM_C401130CA	NC_032092.1	229219	229929	-	711	60	56	52	49	62	65	37	46
CAALFM_C401140CA	NC_032092.1	230555	231097	-	543	473	522	463	530	371	321	505	538
CAALFM_C401150WA	NC_032092.1	231131	232915	+	1785	229	242	335	340	311	310	262	266
CAALFM_C401160WA	NC_032092.1	233630	233860	+	231	10046	9489	11618	11072	5398	5248	8524	9126
CAALFM_C401170CA	NC_032092.1	234375	236723	-	2349	101	97	151	159	96	83	77	81
CAALFM_C401190WA	NC_032092.1	241362	243827	+	2466	528	602	589	608	570	495	684	565
CAALFM_C401200CA	NC_032092.1	244110	245339	-	1230	455	490	380	459	493	511	599	553
CAALFM_C401210CA	NC_032092.1	245658	245739	-	82	0	3	3	4	10	14	0	2
CAALFM_C401220CA	NC_032092.1	246083	248236	-	2154	100	96	334	305	645	480	110	77
CAALFM_C401230CA	NC_032092.1	248784	249194	-	411	1268	1231	1278	1316	1768	1648	1578	1415
CAALFM_C401240CA	NC_032092.1	249999	250601	-	603	99	96	109	152	260	234	104	76
CAALFM_C401250WA	NC_032092.1	250907	251518	+	612	426	431	598	634	857	925	592	497
CAALFM_C401260WA	NC_032092.1	253002	254807	+	1806	852	786	541	639	432	380	768	746
CAALFM_C401270WA	NC_032092.1;NC_032092.1	255598;256029	255603;256733	+;+	711	42576	44150	46392	43523	35964	29995	41732	38608
CAALFM_C401280CA	NC_032092.1	256997	258274	-	1278	647	754	930	926	999	1026	692	667
CAALFM_C401290WA	NC_032092.1	258895	261285	+	2391	990	1095	1414	1378	1138	1169	1070	1059
CAALFM_C401300WA	NC_032092.1	263831	265333	+	1503	552	486	768	698	197	197	561	582
CAALFM_C401310WA	NC_032092.1	266046	267944	+	1899	93	121	121	107	126	82	80	67
CAALFM_C401320CA	NC_032092.1	267976	270813	-	2838	270	266	217	240	262	208	225	209
CAALFM_C401340WA	NC_032092.1	273215	273544	+	330	1247	1175	1246	1266	953	1049	426	456
CAALFM_C401360WA	NC_032092.1	278189	278608	+	420	2815	3229	2835	2951	2325	1965	3619	3097
CAALFM_C401370WA	NC_032092.1	280487	281395	+	909	9899	11243	10297	10413	9566	10529	14582	13204
CAALFM_C401380WA	NC_032092.1	283161	286751	+	3591	203	249	334	285	265	268	216	182
CAALFM_C401390WA	NC_032092.1;NC_032092.1	287625;287841	287721;288733	+;+	990	26	19	35	41	82	156	29	21
CAALFM_C401400WA	NC_032092.1	291217	291654	+	438	43	44	72	55	72	69	55	55
CAALFM_C401410WA	NC_032092.1	292031	293929	+	1899	38	66	36	64	38	35	32	32
CAALFM_C401420WA	NC_032092.1	294718	301869	+	7152	523	462	514	735	1007	844	442	518
CAALFM_C401430CA	NC_032092.1	302002	303258	-	1257	344	416	616	520	735	971	470	422
CAALFM_C401440WA	NC_032092.1	303565	304920	+	1356	120	109	123	124	155	164	118	118
CAALFM_C401450WA	NC_032092.1	305252	307093	+	1842	3974	4169	4864	5319	4867	4291	3729	3636
CAALFM_C401460CA	NC_032092.1	307183	307857	-	675	595	693	819	779	1060	1066	857	829
CAALFM_C401470WA	NC_032092.1	308173	309534	+	1362	18	45	32	34	43	57	24	30
CAALFM_C401490WA	NC_032092.1	309930	312554	+	2625	6273	6595	6342	6700	6193	6064	7226	6755
CAALFM_C401500WA	NC_032092.1	312956	314143	+	1188	313	423	436	460	686	637	464	414
CAALFM_C401510WA	NC_032092.1	314498	315304	+	807	1724	1775	1807	1658	2970	2800	2268	2143
CAALFM_C401520CA	NC_032092.1	315673	316191	-	519	57332	63869	55274	56639	44410	40837	66430	61205
CAALFM_C401530CA	NC_032092.1	317140	318105	-	966	1236	1097	1167	957	737	703	788	725
CAALFM_C401550CA	NC_032092.1	320143	321435	-	1293	242	261	783	853	1921	1949	363	283
CAALFM_C401560CA	NC_032092.1	321752	324649	-	2898	264	247	330	369	530	584	387	305
CAALFM_C401570CA	NC_032092.1	325276	325380	-	105	54	48	77	77	65	58	53	48
CAALFM_C401580CA	NC_032092.1	325943	326036	-	94	985	1195	1645	1662	3759	3712	1028	978
CAALFM_C401590CA	NC_032092.1	326188	326271	-	84	23	18	32	12	35	55	19	24
CAALFM_C401600CA	NC_032092.1	326439	326531	-	93	219	238	316	395	762	674	222	224
CAALFM_C401610CA	NC_032092.1	326607	326699	-	93	44	34	32	42	66	72	24	39
CAALFM_C401620CA	NC_032092.1	326687	326779	-	93	54	41	70	63	101	58	45	43
CAALFM_C401630CA	NC_032092.1	326950	327037	-	88	25	18	29	26	17	25	16	20
CAALFM_C401640CA	NC_032092.1	327198	327290	-	93	56	56	45	50	40	23	19	39
CAALFM_C401650CA	NC_032092.1	327629	329125	-	1497	150	222	217	195	199	200	191	174
CAALFM_C401660WA	NC_032092.1	329466	332810	+	3345	242	259	229	256	186	203	257	233
CAALFM_C401670CA	NC_032092.1	332863	334044	-	1182	142	176	159	124	204	176	119	105
CAALFM_C401680WA	NC_032092.1	334467	334859	+	393	117	152	126	130	175	156	165	141
CAALFM_C401690CA	NC_032092.1	334947	336305	-	1359	713	742	834	762	1272	1491	914	906
CAALFM_C401700CA	NC_032092.1	337230	337508	-	279	5254	5323	5261	5428	4008	4384	5995	5896
CAALFM_C401710CA	NC_032092.1	340471	340899	-	429	97	78	93	58	71	43	66	69
CAALFM_C401720CA	NC_032092.1	340871	342028	-	1158	638	727	701	690	458	451	681	625
CAALFM_C401730CA	NC_032092.1	342883	345000	-	2118	1280	1242	1440	1389	1604	1490	1244	1308
CAALFM_C401740WA	NC_032092.1	345376	345705	+	330	1038	1298	1300	1140	997	1148	1227	1257
CAALFM_C401750CA	NC_032092.1	345920	346999	-	1080	24925	23570	24421	18932	26314	22821	26867	24926
CAALFM_C401760WA	NC_032092.1	348098	348634	+	537	713	535	603	466	514	473	472	443
CAALFM_C401770WA	NC_032092.1	349059	349838	+	780	3495	3658	4007	4310	4373	4642	4287	4290
CAALFM_C401780CA	NC_032092.1	349990	350946	-	957	298	258	256	304	243	261	229	244
CAALFM_C401790WA	NC_032092.1	352073	355570	+	3498	367	360	310	351	486	420	295	240
CAALFM_C401800WA	NC_032092.1	356483	357208	+	726	61	28	90	47	113	82	38	35
CAALFM_C401820CA	NC_032092.1	357858	358832	-	975	2387	2726	2724	2861	2238	2454	2742	2423
CAALFM_C401830CA	NC_032092.1	359054	360847	-	1794	132	171	213	228	268	243	182	166
CAALFM_C401840CA	NC_032092.1	361141	361872	-	732	1589	1954	1690	1784	2418	2337	2345	2102
CAALFM_C401850CA	NC_032092.1;NC_032092.1	362365;364031	363910;364284	-;-	1800	79	82	109	121	150	120	57	36
CAALFM_C401860CA	NC_032092.1	364597	365901	-	1305	150	195	149	208	184	174	110	98
CAALFM_C401870CA	NC_032092.1	366373	367671	-	1299	1415	1521	1458	1453	1785	1592	1793	1512
CAALFM_C401880WA	NC_032092.1	367892	369211	+	1320	620	664	659	747	855	677	701	659
CAALFM_C401890CA	NC_032092.1	369339	369896	-	558	1185	1048	1054	1085	1179	1293	1087	1092
CAALFM_C401900CA	NC_032092.1	370410	371408	-	999	26541	27032	24554	23938	25747	24118	33465	31558
CAALFM_C401910WA	NC_032092.1	372264	373781	+	1518	303	338	375	342	340	344	354	351
CAALFM_C401920WA	NC_032092.1	374223	374501	+	279	144	180	146	158	200	229	179	181
CAALFM_C401930CA	NC_032092.1	374618	375325	-	708	239	282	222	273	213	241	290	271
CAALFM_C401940WA	NC_032092.1	379679	381481	+	1803	401	466	618	667	538	503	191	157
CAALFM_C401950WA	NC_032092.1	382179	383054	+	876	223	190	188	237	215	229	235	174
CAALFM_C401960CA	NC_032092.1	383106	384434	-	1329	184	202	274	274	315	269	205	221
CAALFM_C401970WA	NC_032092.1	385301	386614	+	1314	730	708	760	618	631	618	417	404
CAALFM_C401980CA	NC_032092.1	386687	387364	-	678	2421	2424	2305	2144	2357	2422	2589	2326
CAALFM_C401990WA	NC_032092.1	387813	388049	+	237	200	209	207	252	247	262	207	274
CAALFM_C402000CA	NC_032092.1	388211	391741	-	3531	720	706	1110	1091	1530	1401	1004	790
CAALFM_C402010CA	NC_032092.1	394832	396466	-	1635	105	111	160	189	202	290	197	145
CAALFM_C402020WA	NC_032092.1	398110	400008	+	1899	2191	2322	2014	1829	1927	1917	1829	1642
CAALFM_C402030WA	NC_032092.1	405052	408387	+	3336	67	103	70	105	99	104	83	61
CAALFM_C402040WA	NC_032092.1	408951	410384	+	1434	221	294	222	273	333	325	243	259
CAALFM_C402050WA	NC_032092.1	410516	411604	+	1089	3428	3752	3682	3704	3410	3356	3447	3134
CAALFM_C402060CA	NC_032092.1	411719	413545	-	1827	1500	1333	1373	1391	1386	1205	1122	1067
CAALFM_C402070WA	NC_032092.1	414417	415787	+	1371	133	166	150	162	193	193	119	128
CAALFM_C402080WA	NC_032092.1	416114	417043	+	930	344	355	419	408	393	452	339	303
CAALFM_C402090CA	NC_032092.1	417123	417845	-	723	745	782	741	883	803	804	740	706
CAALFM_C402100CA	NC_032092.1	418036	419232	-	1197	1118	1204	1388	1217	1062	1245	1148	968
CAALFM_C402110WA	NC_032092.1	419443	419976	+	534	507	520	527	448	483	536	491	539
CAALFM_C402120WA	NC_032092.1	421020	421946	+	927	1676	1862	1944	1690	2119	2103	2015	1970
CAALFM_C402130WA	NC_032092.1	422279	423034	+	756	153	129	271	273	335	427	126	142
CAALFM_C402140CA	NC_032092.1	423169	423444	-	276	727	593	692	956	417	329	611	528
CAALFM_C402150CA	NC_032092.1	423674	426985	-	3312	92	101	53	107	109	129	71	53
CAALFM_C402160CA	NC_032092.1;NC_032092.1;NC_032092.1	427566;427676;427962	427610;427811;429880	-;-;-	2100	295	272	295	258	397	334	434	389
CAALFM_C402170CA	NC_032092.1	430108	431778	-	1671	71	88	116	152	200	195	79	97
CAALFM_C402180CA	NC_032092.1	432066	434558	-	2493	19	32	32	32	36	63	31	30
CAALFM_C402190CA	NC_032092.1	435121	436770	-	1650	1	0	8	4	9	9	1	5
CAALFM_C402200CA	NC_032092.1	437154	437594	-	441	81	71	80	91	77	113	94	85
CAALFM_C402210WA	NC_032092.1	437882	438676	+	795	19	13	44	40	75	45	15	12
CAALFM_C402220CA	NC_032092.1	438733	441150	-	2418	83	80	88	80	112	116	41	40
CAALFM_C402230CA	NC_032092.1	442010	442921	-	912	28	20	146	211	308	317	32	28
CAALFM_C402240CA	NC_032092.1	443684	444265	-	582	5	5	49	44	68	63	15	8
CAALFM_C402250CA	NC_032092.1	444629	445555	-	927	3450	3432	3582	3462	5794	5059	3814	3524
CAALFM_C402260CA	NC_032092.1	446282	447397	-	1116	565	706	761	956	1250	1381	805	838
CAALFM_C402270CA	NC_032092.1	447754	449142	-	1389	6585	7483	7085	7488	6966	6083	8061	7320
CAALFM_C402280WA	NC_032092.1	450086	450940	+	855	2259	2454	2755	2548	2707	2470	2586	2575
CAALFM_C402290WA	NC_032092.1	451427	452587	+	1161	1341	1249	1223	1154	1163	1150	1403	1184
CAALFM_C402300WA	NC_032092.1	453463	455604	+	2142	564	462	544	555	782	642	467	411
CAALFM_C402310WA	NC_032092.1	457216	460641	+	3426	316	312	309	320	407	338	281	233
CAALFM_C402320CA	NC_032092.1;NC_032092.1	460935;461632	461386;461644	-;-	465	10889	11236	10534	11330	12980	13308	13404	5320
CAALFM_C402330CA	NC_032092.1	462582	463040	-	459	88	44	83	68	67	76	36	16
CAALFM_C402340WA	NC_032092.1	463583	463966	+	384	349	251	259	263	511	414	301	266
CAALFM_C402360WA	NC_032092.1	464869	468336	+	3468	109	70	99	74	101	97	48	52
CAALFM_C402370CA	NC_032092.1	471021	471362	-	342	218629	242699	218597	242372	159048	138440	200147	177991
CAALFM_C402390WA	NC_032092.1	480535	481176	+	642	11396	11472	11604	10918	15700	13518	13624	12213
CAALFM_C402400CA	NC_032092.1	483122	485536	-	2415	92	106	178	192	259	239	113	121
CAALFM_C402410CA	NC_032092.1	486083	486613	-	531	684	900	745	659	1249	1297	1072	1055
CAALFM_C402420CA	NC_032092.1	487547	488344	-	798	617	681	708	664	793	783	630	586
CAALFM_C402430WA	NC_032092.1	488934	493196	+	4263	570	583	745	606	441	418	490	427
CAALFM_C402440CA	NC_032092.1	493509	495056	-	1548	549	554	561	453	670	543	666	569
CAALFM_C402450WA	NC_032092.1	496166	497164	+	999	82	104	79	108	139	119	128	81
CAALFM_C402460WA	NC_032092.1	497492	498130	+	639	113	95	91	81	93	113	77	114
CAALFM_C402470CA	NC_032092.1	498333	499070	-	738	80	88	59	72	86	88	74	53
CAALFM_C402480CA	NC_032092.1	499700	500026	-	327	680	873	783	843	562	484	918	880
CAALFM_C402490WA	NC_032092.1	501463	504297	+	2835	93	129	134	102	120	75	89	54
CAALFM_C402500CA	NC_032092.1	504516	508772	-	4257	46	54	56	72	85	100	58	60
CAALFM_C402510WA	NC_032092.1	512431	513978	+	1548	885	843	923	861	905	1043	783	710
CAALFM_C402520CA	NC_032092.1	514049	515524	-	1476	331	298	365	387	281	287	281	291
CAALFM_C402530WA	NC_032092.1	517316	520240	+	2925	110	119	115	154	139	145	85	81
CAALFM_C402540WA	NC_032092.1	523880	526963	+	3084	289	308	367	302	261	294	155	144
CAALFM_C402550CA	NC_032092.1	527399	529291	-	1893	1425	1588	1569	1732	1751	1636	1660	1628
CAALFM_C402560CA	NC_032092.1	529895	531271	-	1377	30	28	34	43	102	85	40	33
CAALFM_C402570CA	NC_032092.1	531726	533546	-	1821	179	176	158	165	157	130	110	128
CAALFM_C402580WA	NC_032092.1	533914	534252	+	339	4	7	16	9	12	7	16	5
CAALFM_C402590CA	NC_032092.1	534274	536604	-	2331	293	272	394	340	500	446	318	308
CAALFM_C402600CA	NC_032092.1	536885	538603	-	1719	323	380	365	341	468	480	383	320
CAALFM_C402610CA	NC_032092.1	539025	541505	-	2481	77	84	90	103	178	173	64	52
CAALFM_C402620CA	NC_032092.1	543678	545906	-	2229	501	461	594	492	1392	1172	619	652
CAALFM_C402630CA	NC_032092.1	547040	547480	-	441	1075	1088	1207	1167	1762	1735	1634	1550
CAALFM_C402640CA	NC_032092.1	547908	549077	-	1170	296	336	615	686	1122	1191	365	335
CAALFM_C402650CA	NC_032092.1	549182	549268	-	87	0	1	1	1	4	2	0	0
CAALFM_C402660WA	NC_032092.1	550263	551270	+	1008	12	26	16	13	45	30	9	15
CAALFM_C402670WA	NC_032092.1	551536	553089	+	1554	535	623	728	596	660	720	685	582
CAALFM_C402680CA	NC_032092.1	553127	553465	-	339	9	13	16	6	14	21	33	22
CAALFM_C402690WA	NC_032092.1	553837	555657	+	1821	510	423	362	359	363	381	410	342
CAALFM_C402700WA	NC_032092.1	555825	557594	+	1770	407	429	444	433	514	534	390	406
CAALFM_C402710CA	NC_032092.1	557744	558505	-	762	2400	2588	2534	2466	2840	2749	3002	2498
CAALFM_C402720CA	NC_032092.1	558858	559796	-	939	402	521	935	905	1252	1248	690	779
CAALFM_C402740WA	NC_032092.1	571822	573321	+	1500	166	177	145	154	164	158	202	207
CAALFM_C402750WA	NC_032092.1	577303	577749	+	447	16	24	12	10	15	24	20	19
CAALFM_C402760CA	NC_032092.1	578111	579133	-	1023	444	511	520	438	597	701	574	547
CAALFM_C402770CA	NC_032092.1	579389	580426	-	1038	314	310	325	342	492	477	301	249
CAALFM_C402780WA	NC_032092.1	580679	582313	+	1635	609	570	526	662	748	670	506	507
CAALFM_C402790CA	NC_032092.1	582403	584097	-	1695	217	164	278	360	257	233	196	174
CAALFM_C402800WA	NC_032092.1	584380	585738	+	1359	500	589	666	737	660	822	695	627
CAALFM_C402820WA	NC_032092.1;NC_032092.1	586325;586815	586750;588797	+;+	2409	152	180	422	340	806	729	152	198
CAALFM_C402830CA	NC_032092.1	588794	591091	-	2298	1650	1993	2000	2364	2060	2348	1862	1732
CAALFM_C402840CA	NC_032092.1;NC_032092.1	591385;592166	592087;592176	-;-	714	248	278	255	267	275	214	316	262
CAALFM_C402850WA	NC_032092.1	592423	594816	+	2394	1859	2142	2095	2496	2524	2356	2139	2078
CAALFM_C402860WA	NC_032092.1	595171	595815	+	645	714	787	811	941	959	998	554	630
CAALFM_C402870CA	NC_032092.1	595985	597268	-	1284	10092	11713	11052	11862	11342	10641	11893	10920
CAALFM_C402880CA	NC_032092.1	597479	598246	-	768	951	1016	1010	1062	997	1133	1164	1104
CAALFM_C402890CA	NC_032092.1	598659	598856	-	198	7544	8322	7818	7816	6153	5955	9137	9016
CAALFM_C402900CA	NC_032092.1	599268	600629	-	1362	9927	10269	24129	24384	47322	43881	11709	10572
CAALFM_C402920WA	NC_032092.1	603218	604786	+	1569	529	489	503	508	686	631	350	335
